x,y_norm_0_100,page_x,page_y
4.9969780163239506,1.9844249102421592,50.498600006103516,304.232177734375
5.024521468660698,1.8604234633858123,50.792598724365234,304.524169921875
5.052158912537145,1.7364090565120265,51.08760070800781,304.8161926269531
5.079702364873893,1.6124076096556796,51.38159942626953,305.1081848144531
5.10724581721064,1.529593098220473,51.67559814453125,305.3031921386719
5.125702110308171,1.4467915468027053,51.87260055541992,305.4981689453125
5.153245562644919,1.3644047159429857,52.16659927368164,305.6921691894531
5.1807893723639475,1.2815902045077792,52.460601806640625,305.8871765136719
5.2084264588581135,1.2403903090692,52.75559997558594,305.98419189453125
5.235969911194862,1.1575887576514323,53.049598693847656,306.1791687011719
5.263513720913889,1.1575887576514323,53.34360122680664,306.1791687011719
5.281876022471722,1.116388862212853,53.53960037231445,306.27618408203125
5.309513108965888,1.116388862212853,53.834598541259766,306.27618408203125
5.337056918684916,0.9095729039212995,54.12860107421875,306.76318359375
5.364600371021664,0.8679582879246722,54.42259979248047,306.8611755371094
5.39223745751583,0.9507727993598788,54.71759796142578,306.6661682128906
5.419781267234859,1.2403903090692,55.011600494384766,305.98419189453125
5.4381435687926905,1.405591651364126,55.20759963989258,305.5951843261719
5.465781012669137,1.529593098220473,55.502601623535156,305.3031921386719
5.493324465005885,1.529593098220473,55.796600341796875,305.3031921386719
5.520867917342633,1.116388862212853,56.090599060058594,306.27618408203125
5.548505361219079,1.405591651364126,56.38560104370117,305.5951843261719
5.576048813555827,1.6952221210908862,56.67959976196289,304.9131774902344
5.594411115113659,1.943237974821019,56.8755989074707,304.32916259765625
5.621954924832687,1.6952221210908862,57.16960144042969,304.9131774902344
5.649592011326853,1.7364090565120265,57.464599609375,304.8161926269531
5.6771354636636016,2.4392567222638455,57.75859832763672,303.1611633300781
5.70467927338263,2.687259615976539,58.0526008605957,302.5771789550781
5.732316359876796,2.8524609582714655,58.347599029541016,302.18817138671875
5.750679018816908,2.645644999979912,58.543601989746094,302.6751708984375
5.778222471153656,2.645644999979912,58.83760070800781,302.6751708984375
5.805859557647822,2.687259615976539,59.132598876953125,302.5771789550781
5.83340336736685,2.4804436576849858,59.42660140991211,303.0641784667969
5.8609468197035985,2.108426357098506,59.72060012817383,303.940185546875
5.888584263580045,1.6952221210908862,60.015602111816406,304.9131774902344
5.9069465651378765,1.3644047159429857,60.21160125732422,305.6921691894531
5.934490017474625,1.1575887576514323,60.50559997558594,306.1791687011719
5.962033469811373,0.9923874153565061,60.799598693847656,306.56817626953125
5.989670913687819,0.7855714570649526,61.094600677490234,307.05517578125
6.017214366024567,1.0752019267917128,61.38859939575195,306.3731689453125
6.035577024964679,1.3644047159429857,61.58460235595703,305.6921691894531
6.063214111458846,1.6124076096556796,61.879600524902344,305.1081848144531
6.090757563795593,1.6124076096556796,62.17359924316406,305.1081848144531
6.1183010161323415,1.6124076096556796,62.46759796142578,305.1081848144531
6.145938460008788,1.7364090565120265,62.76259994506836,304.8161926269531
6.173481912345536,2.356442210828639,63.05659866333008,303.3561706542969
6.191844571285648,2.5632581691201923,63.252601623535156,302.8691711425781
6.219388023622396,2.687259615976539,63.546600341796875,302.5771789550781
6.247025110116563,2.769646446836259,63.84159851074219,302.3831787109375
6.27456856245331,2.8936478936926058,64.1355972290039,302.0911865234375
6.302112014790058,2.935275469706672,64.42959594726562,301.9931640625
6.329749816048785,2.811261062832886,64.72460174560547,302.2851867675781
6.348112117606617,2.7284595114151187,64.92060089111328,302.48016357421875
6.375655569943365,2.6044451045413326,65.214599609375,302.7721862792969
6.403292656437531,2.687259615976539,65.50959777832031,302.5771789550781
6.43083682353884,3.059276916563019,65.80360412597656,301.701171875
6.458380275875587,3.1832783634193658,66.09760284423828,301.4091796875
6.486017362369754,3.0180770211244394,66.3926010131836,301.7981872558594
6.504379663927586,2.9764624051278123,66.5886001586914,301.89617919921875
6.531923116264334,3.1420914279982255,66.88259887695312,301.50616455078125
6.559466568601081,3.3072798102757126,67.17659759521484,301.1171875
6.587104369859809,3.472481152570639,67.47160339355469,300.7281799316406
6.614647822196557,4.010114516010093,67.7656021118164,299.4621887207031
6.642191274533304,4.630147670326705,68.05960083007812,298.0021667480469
6.6606472102485546,5.167353353190672,68.25659942626953,296.7371826171875
6.688190662585303,5.332554695485598,68.55059814453125,296.3481750488281
6.715734829686611,5.6221851652123584,68.8446044921875,295.6661682128906
6.743371916180777,5.953002570360258,69.13960266113281,294.8871765136719
6.770915368517525,6.325019870946738,69.43360137939453,294.01116943359375
6.798458820854273,7.0278545766811185,69.72760009765625,292.3561706542969
6.816821122412105,7.0278545766811185,69.92359924316406,292.3561706542969
6.844458208906271,7.151856023537465,70.21859741210938,292.0641784667969
6.87200237600758,7.275857470393812,70.51260375976562,291.7721862792969
6.899545828344328,7.151856023537465,70.80660247802734,292.0641784667969
6.927182914838494,6.821038618389565,71.10160064697266,292.8431701660156
6.945545216396326,6.697024211515779,71.29759979248047,293.13519287109375
6.973088668733074,6.697024211515779,71.59159851074219,293.13519287109375
7.00072575522724,7.193055918976045,71.8865966796875,291.9671630859375
7.0282699223285485,7.234242854397185,72.18060302734375,291.87017822265625
7.055813374665297,7.523873324123945,72.47460174560547,291.18817138671875
7.083450461159463,7.730689282415498,72.76959991455078,290.701171875
7.1018127627172944,7.730689282415498,72.9655990600586,290.701171875
7.129356215054043,7.771876217836638,73.25959777832031,290.60418701171875
7.156993301548209,7.358671981829019,73.55459594726562,291.5771789550781
7.184537468649517,7.193055918976045,73.84860229492188,291.9671630859375
